Time,Backend,GPU_ID,VRAM_MB,Power_W,GPU_Util
1781845242.58,ROCM_SMI,GPU_7,1474.1,140.0,100.0
1781845244.77,ROCM_SMI,GPU_0,1474.1,151.0,100.0
1781845244.77,ROCM_SMI,GPU_1,1474.1,141.0,100.0
1781845244.77,ROCM_SMI,GPU_2,1474.1,148.0,100.0
1781845244.77,ROCM_SMI,GPU_3,1474.1,146.0,100.0
1781845244.77,ROCM_SMI,GPU_4,1474.1,140.0,76.0
1781845244.77,ROCM_SMI,GPU_5,1474.1,141.0,100.0
1781845244.77,ROCM_SMI,GPU_6,1474.1,139.0,100.0
1781845244.77,ROCM_SMI,GPU_7,1474.1,139.0,100.0
1781845246.96,ROCM_SMI,GPU_0,1474.1,152.0,100.0
1781845246.96,ROCM_SMI,GPU_1,1474.1,139.0,100.0
1781845246.96,ROCM_SMI,GPU_2,1474.1,146.0,100.0
1781845246.96,ROCM_SMI,GPU_3,1474.1,146.0,100.0
1781845246.96,ROCM_SMI,GPU_4,1474.1,142.0,100.0
1781845246.96,ROCM_SMI,GPU_5,1474.1,143.0,100.0
1781845246.96,ROCM_SMI,GPU_6,1474.1,140.0,93.0
1781845246.96,ROCM_SMI,GPU_7,1474.1,137.0,100.0
1781845249.16,ROCM_SMI,GPU_0,1474.1,148.0,100.0
1781845249.16,ROCM_SMI,GPU_1,1474.1,143.0,100.0
1781845249.16,ROCM_SMI,GPU_2,1474.1,148.0,100.0
1781845249.16,ROCM_SMI,GPU_3,1474.1,143.0,100.0
1781845249.16,ROCM_SMI,GPU_4,1474.1,141.0,100.0
1781845249.16,ROCM_SMI,GPU_5,1474.1,140.0,100.0
1781845249.16,ROCM_SMI,GPU_6,1474.1,140.0,97.0
1781845249.16,ROCM_SMI,GPU_7,1474.1,136.0,98.0
1781845251.35,ROCM_SMI,GPU_0,1474.1,147.0,100.0
1781845251.35,ROCM_SMI,GPU_1,1474.1,140.0,100.0
1781845251.35,ROCM_SMI,GPU_2,1474.1,147.0,100.0
1781845251.35,ROCM_SMI,GPU_3,1474.1,146.0,100.0
1781845251.35,ROCM_SMI,GPU_4,1474.1,140.0,100.0
1781845251.35,ROCM_SMI,GPU_5,1474.1,142.0,100.0
1781845251.35,ROCM_SMI,GPU_6,1474.1,140.0,100.0
1781845251.35,ROCM_SMI,GPU_7,1474.1,141.0,100.0
1781845253.54,ROCM_SMI,GPU_0,1474.1,146.0,100.0
1781845253.54,ROCM_SMI,GPU_1,1474.1,141.0,100.0
1781845253.54,ROCM_SMI,GPU_2,1474.1,146.0,100.0
1781845253.54,ROCM_SMI,GPU_3,1474.1,145.0,100.0
1781845253.54,ROCM_SMI,GPU_4,1474.1,139.0,100.0
1781845253.54,ROCM_SMI,GPU_5,1474.1,141.0,100.0
1781845253.54,ROCM_SMI,GPU_6,1474.1,139.0,100.0
1781845253.54,ROCM_SMI,GPU_7,1474.1,141.0,100.0
1781845255.73,ROCM_SMI,GPU_0,1474.1,146.0,85.0
1781845255.73,ROCM_SMI,GPU_1,1474.1,141.0,100.0
1781845255.73,ROCM_SMI,GPU_2,1474.1,147.0,100.0
1781845255.73,ROCM_SMI,GPU_3,1474.1,146.0,100.0
1781845255.73,ROCM_SMI,GPU_4,1474.1,140.0,100.0
1781845255.73,ROCM_SMI,GPU_5,1474.1,141.0,100.0
1781845255.73,ROCM_SMI,GPU_6,1474.1,140.0,100.0
1781845255.73,ROCM_SMI,GPU_7,1474.1,140.0,100.0
1781845257.92,ROCM_SMI,GPU_0,1474.1,147.0,100.0
1781845257.92,ROCM_SMI,GPU_1,1474.1,139.0,97.0
1781845257.92,ROCM_SMI,GPU_2,1474.1,145.0,100.0
1781845257.92,ROCM_SMI,GPU_3,1474.1,144.0,100.0
1781845257.92,ROCM_SMI,GPU_4,1474.1,140.0,100.0
1781845257.92,ROCM_SMI,GPU_5,1474.1,141.0,100.0
1781845257.92,ROCM_SMI,GPU_6,1474.1,141.0,100.0
